P00027739T0000|0 28|Serum gamma glutamyltransferase
P08139001A1235|52 69|NS1 protein molecule
P08647884A0547|52 69|MHC class I molecules
P07937108A0325|52 65|RNA polymerase I
P01697683T0000|52 65|cytotactin gene
P01830114A1587|52 64|P4 transcripts
P06281786A1222|52 63|histone genes
P11495920A0504|52 61|CYP3A4 gene
P08065365A0000|52 59|pre-mRNA
P09641167A1359|52 59|LDLr gene
P03073091A0449|52 58|insulin
P11145955A0189|52 58|ERalpha
P10452991A0331|52 58|HLA-DR1
P02591969A0961|52 58|ADH gene
P09234720A1015|52 56|v-Src
P09032233T0000|52 56|Pit-1
P09407090T0000|52 56|CLA-1
P09751061A0000|52 56|Pit-1
P11445008A0816|52 55|FGFR
P08683106A0374|52 55|IL-2
P08114702A0000|52 55|MEF2
P01545797A0587|52 55|slk1
P09851700A0000|52 55|t-PA
P09108029A0399|52 55|AP-1
P08887643A1167|52 54|Ras
P09990315A0205|52 54|PKC
P03212929A0000|52 54|IgE
P08343216A0883|52 54|IgG
P11012680A0676|52 54|Src
P08183915A0000|52 54|p50
P08479742A0985|52 54|p53
P11278848A1316|52 54|Sp1
P08902214A1486|52 54|PRL
P02838246A0225|52 53|T4
P03104248A0322|52 53|G1
P08397123T0000|53 91|human corticotropin-releasing hormone gene
P10318806A0000|53 87|extracellular signal-regulated kinase
P06099656T0000|53 83|adenovirus DNA binding protein gene
P07651398T0000|53 77|DER receptor tyrosine kinase
P10202006A0546|53 74|Staphylococcal protein A
P09726987T0000|53 74|transcription factor IID
P07828584A0681|53 70|AP1 bearing promoter
P03908493A0246|53 68|immunoperoxidase
P08001792A0284|53 68|adenylate cyclase
P09811730A1396|53 67|nuclear proteins
P03037334A0932|53 66|yeast RP39A gene
P11076860A0872|53 66|nuclear protein
P06959130A0996|53 65|human factor IX
P07809410A0606|53 65|thyroglobulin
P03417668A1233|53 64|alpha subunit
P02811378A0379|53 63|S100 protein
P08522175A0306|53 63|beta subunit
P07509450A0705|53 61|HSV tk gene
P10773351A0672|53 61|IFN-gamma
P08798512A1197|53 61|u-PAR gene
P09881666A0535|53 60|AP-1 site
P07737508A0649|53 59|tRNAIle
P09209438A0994|53 58|GATA-4
P07799931A1232|53 57|c-Maf
P07851758A0330|53 57|spt14
P11274179A0610|53 57|Raf-1
P11179668A0869|53 56|PLTP
P10498717A1048|53 56|rsmB
P11553704A0674|53 56|EGFR
P11027289A0321|53 56|ARM2
P09255349A0836|53 56|IRA1
P08977235A0134|53 56|JAK1
P03446332A0831|53 56|LHRH
P07537362A1112|53 56|Eps8
P10319320A1022|53 56|VEGF
P11350982A0560|53 56|GCN2
P09535835A0279|53 56|RhoA
P02590869A0743|53 55|IgA
P11113199A0800|53 55|MEK
P09710599T0000|53 55|p42
P09321930A0567|53 55|APC
P10187798A1098|53 55|TNF
P06795832A0148|53 55|IgM
P08936128A0611|53 55|G Hb
P10102136A0646|53 55|PSA
P01978857A0504|53 55|CD4
P10585480A0265|53 55|Sos
P08145770A1078|53 55|PKC
P08838144A0107|53 55|PRL
P11193045A1193|53 55|p73
P07493327A0507|53 54|U2
P10090535A1194|53 54|Lp
P08555446A0000|54 83|Escherichia coli pyrophosphatase
P07933076A0211|54 80|viral latent membrane proteins
P02474110A1039|54 80|angiotensin converting enzyme
P08298129T0000|54 75|human beta 3 integrin gene
P08910373A0315|54 69|human Y2 receptors
P08922344A1539|54 68|xanthine oxidase
P08628302A0683|54 68|RNA polymerase II
P09813203T0000|54 67|HIV-1 gp120 IIIB
P10805739A0343|54 66|eIF2B subunits
P11356716A0372|54 66|GHS-R variants
P09393706A1171|54 64|mar promoter
P02744490A0894|54 63|S1 nuclease
P01313894A1179|54 62|LMP2B mRNA
P11408604A1440|54 62|ERK kinase
P09311835A0147|54 62|T antigens
P09111314A1243|54 61|TGF-beta
P08350061A0209|54 60|CD8 gene
P08873063A0493|54 59|LvUSF1
P07761091A0294|54 58|MKP-1
P10439040A0658|54 58|c-myc
P09622055A0207|54 58|c-Cbl
P08622668A1155|54 58|U6 RNA
P08585883A0381|54 57|CD-1
P09858883A1106|54 57|N-A3
P08643633A1187|54 57|CBF1
P09514159A0562|54 57|Ptx1
P09498553T0000|54 57|P450
P07474617A1035|54 56|PRL
P07626469A1341|54 56|LHR
P10517672A1417|54 56|CAT
P11438666A0555|54 56|HFD
P09271394A0558|54 56|Mu1
P07592658A0309|54 56|p50
P09639558A0957|54 56|IgM
P09632734A0943|54 56|p70
P11168588T0000|54 56|Rac
P09827878A0091|54 56|SOD
P11035037A0183|54 56|TBP
P07890674A0916|54 56|APC
P02182618A0168|55 86|chloramphenicol acetyltransferase
P07706291T0000|55 84|mammalian homologue of ftz-f1 gene
P07559524A0741|55 84|mitogen-activated protein kinase
P09077437T0000|55 82|Escherichia coli RNA polymerase
P08692885A0663|55 80|C-terminal zinc finger domain
P10438924T0000|55 78|glycogen synthase kinase-3
P09488491A0000|55 77|tumor suppressor proteins
P09521913A0400|55 76|TGF-beta-related factor
P02403035A0621|55 75|mitochondrial fumarase
P07899581A0000|55 73|superoxide dismutase
P07811964A1252|55 71|DNA-binding domain
P10433970A0279|55 70|DNA binding domain
P05132558T0000|55 70|monoamine oxidase
P09694860A0498|55 70|N-terminal region
P09819414A1103|55 68|leptin receptor
P09553134A0596|55 68|tyrosine kinase
P08086453T0000|55 67|human APEX gene
P01429596A1669|55 67|hemagglutinin
P08887678A0000|55 67|GAL10 promoter
P01630454A0635|55 66|Act1 promoter
P10523647A0000|55 65|bZIP protein
P09547311A1394|55 64|E-cadherin
P07540866A1069|55 63|MAP kinase
P02229068A0156|55 62|env genes
P01853796T0000|55 61|insulin
P10407985A0574|55 60|GM-CSF
P03651840A0266|55 59|MAO-B
P07609037A0775|55 59|Oct-1
P03006066A0653|55 59|c-myb
P09560390A0771|55 59|sum1+
P10733591A0146|55 59|actin
P07487067A0592|55 58|APS1
P06094591A0000|55 58|gp37
P10329736A1106|55 58|SHP2
P08497280A1397|55 58|SWI4
P09776360A0620|55 58|AP-1
P07862141A0317|55 58|cAPK
P11094066A1194|55 57|p27
P09020169A0552|55 57|AHR
P09472616A1004|55 57|VP7
P08076631A0000|55 57|VDR
P08707840A0753|55 57|p54
P10506143A0610|55 57|JNK
P08794326A0405|55 57|TRE
P10344736A0796|55 57|CDK
P02648396A1033|55 57|ras
P10490604A0601|55 57|Fyn
P02838246A0225|55 56|T8
P08980413A0500|55 56|P2
P09751114A0967|55 56|E3
P07592647T0000|55 56|Rb
P10488088T0000|56 109|transcription factor cAMP-response element-binding protein
P02002051T0000|56 82|cAMP-dependent protein kinase
P11572467T0000|56 81|tissue plasminogen activator
P11114294A0075|56 79|tumor necrosis factor alpha
P08157674T0000|56 76|protein tyrosine kinase
P07635312A0692|56 74|actin-binding domain
P09848653A0597|56 74|RNA-binding proteins
P08325883A0368|56 74|RNA recognition motif
P09115265A1160|56 72|DNA-binding domain
P09271393A1333|56 69|HTLV-1 promoter
P02362803A0608|56 67|U3 snRNA genes
P10021350A0093|56 67|beta-catenin
P09094315A0541|56 66|cyclin-Cdks
P11435688A0262|56 65|N-terminus
P07575438A1409|56 64|E1 element
P09869297A1807|56 64|Hoxb1 gene
P08647086T0000|56 63|cyclin D1
P09334330A0252|56 63|TGF-beta
P10729220A0000|56 63|H19 genes
P07971709A0907|56 62|rhG-CSF
P08636149A0220|56 62|insulin
P07951410A0647|56 62|cyclin A
P09258439A1001|56 61|SsEF-2
P09858619A0356|56 61|ZAP-70
P11134351A1405|56 60|MBP-1
P09441746A0546|56 60|GPR39
P09442080A0856|56 60|SHP-2
P11160896A0713|56 60|MEF2A
P08621719A0568|56 59|Grb2
P10362652A1456|56 59|ERK2
P07852400A0519|56 59|RhoA
P11328853A0644|56 59|SF-1
P02164585A0814|56 59|traX
P09467044A0973|56 59|PALP
P08336698T0000|56 59|TFE3
P09368419A0000|56 59|rd22
P11323411A0505|56 59|SHP2
P10521447A1190|56 59|AML1
P10224244T0000|56 59|Snf1
P09115279A0345|56 59|Cdc2
P10446149A0809|56 58|Ras
P11123912A0306|56 58|SH2
P08816507A1125|56 58|p53
P08112870A0484|56 58|SOD
P07559650A0558|56 58|E2F
P10068446A0124|56 58|PKC
P09058250A0128|56 58|NO2
P10545192T0000|56 58|ras
P08563483A0094|56 58|hCG
P09169593T0000|56 58|MEK
P08208618A1334|56 58|Sp1
P07730336A0606|56 58|CRE
P09050849A1459|56 58|ARF
P08622893A0000|56 58|EPH
P11283014A0921|56 58|TCR
P02928376A0312|56 57|H2
P09837933T0000|57 99|peptidylglycine alpha-amidating monooxygenase
P11359907A0099|57 87|vascular endothelial growth factor
P09091125A0161|57 83|alkaline and acid phosphatases
P10648020A0151|57 82|tissue plasminogen activator
P09590540A0513|57 80|N-terminal signal sequence
P09643546A0436|57 80|sigmaA-dependent promoter
P08910292T0000|57 77|c-Jun N-terminal kinase
P10576545A0926|57 77|murine D1A gene promoter
P07592711T0000|57 76|G protein alpha subunit
P06495195A0536|57 75|alkaline phosphatase
P08002564A0249|57 72|C-terminal region
P10419521A0136|57 71|RNA polymerase II
P09737453A0557|57 69|IgG antibodies
P11179272T0000|57 69|IgG antibodies
P09660823A0934|57 67|p70 S6 kinase
P09844106A0835|57 67|fibronectin
P02036066A0000|57 66|hemoglobin
P11027267A0752|57 66|krr1 mutant
P02985820A1287|57 65|c-myc gene
P10779508A0897|57 65|ERRalpha1
P09717835A0941|57 65|IRS family
P09233801A1180|57 64|TGF-beta
P08149484A1551|57 64|PKC delta
P06869986A0000|57 64|collagen
P09806858T0000|57 64|rnaI gene
P09162084A0956|57 63|PECAM-1
P09343398A1193|57 63|pcna-79
P08649425A0373|57 62|DNase I
P09241232A0653|57 62|AP site
P01545818A0696|57 61|v-Src
P08692924A0328|57 61|BCL-6
P01420363A0818|57 61|c-Jun
P01374392A0341|57 61|NHE-2
P03520729A0381|57 61|renin
P08072547A1009|57 61|c-Jun
P09234703A0192|57 61|Cdc42
P09642214A0244|57 61|SHP-2
P09832505A0903|57 61|Oct-1
P07652575A0435|57 61|Cdc42
P10350484A0346|57 60|CheA
P10824485A0393|57 60|CD4+
P09544987A1583|57 60|NCoR
P10194451A0000|57 60|p210
P10793143A1533|57 60|Abf1
P08552086A0150|57 60|VDRE
P02312470A0774|57 59|Na+
P09920930A0521|57 59|SRE
P11193045A1193|57 59|p63
P08923469A1391|57 59|RXR
P07665948A0591|57 59|IgE
P04038454A0984|57 59|RBP
P09334331A0910|57 59|DER
P10850453A1292|57 59|Ras
P08361755A0734|57 59|p50
P09622121T0000|57 59|PTB
P08401570A0828|57 59|Sp1
P09872326A0566|57 59|CBF
P06181216A0070|57 59|IgA
P01532796A0107|57 58|F1
P11376279A0000|57 58|MR
P09592168T0000|58 96|human nucleotide excision repair protein XPA
P11059786T0000|58 88|vascular endothelial growth factor
P11376134A1506|58 88|transcription factor binding sites
P11105129T0000|58 88|Extended-Spectrum beta-lactamase
P07780738A0091|58 88|proliferating cell nuclear antigen
P06585277A0000|58 81|prostatic acid phosphatase
P07774807A0405|58 77|tissue-specific genes
P10810083A1283|58 72|zinc finger motif
P10900129A0138|58 71|CYP3A sequences
P10096573A0207|58 70|nuclear factor
P09020856A0560|58 68|MCK promoter
P07945330A0103|58 66|Rex-1 gene
P09581775A0185|58 66|NF-kappaB
P08593813A0967|58 65|Sp1 mRNAs
P01997465A0276|58 65|collagen
P07812450A0849|58 65|nspC gene
P02483210A0000|58 64|trypsin
P09199292A0536|58 64|cyclin E
P10567581A0119|58 64|HFH-11B
P10660676A0000|58 64|TGFbeta
P09199328T0000|58 62|Oct-1
P08264591A1190|58 62|TFIIB
P10322629A0198|58 62|Pax-8
P11119611A0428|58 62|LANA2
P09353304A0732|58 62|Tiam1
P09545638A0330a|58 61|HMT1
P08872162A0884|58 61|CD4+
P08887643A1167|58 61|TC21
P11560992A1184|58 61|SAPK
P10805737T0000|58 61|eIF5
P06685004A0000|58 61|SHBG
P09545638A0330b|58 61|HMT1
P11145887A1393|58 61|JunD
P01400217T0000|58 61|traF
P10891441A0871|58 61|Grb2
P09368058A0969|58 61|Cdc2
P09892017A2151|58 61|ELE1
P06224974A0833|58 60|CPA
P10454533A0859|58 60|HRI
P07592658A0309|58 60|p65
P01644821A1259|58 60|CAT
P08376397A0788|58 60|E2F
P08848052A0733|58 60|Rev
P10706887A1457|58 60|ALK
P10049357A0608|58 60|Ski
P10958698A0485|58 60|HFD
P02745666A0000|58 59|P4
P10750020A0843|58 59|ER
P02894789A0954|58 59|T1
P07916983A0623|58 59|N1
P09003410A0000|59 90|Epstein-Barr virus nuclear antigen 2
P10640734A0190|59 90|SH2 domain-containing phosphatases
P01333035T0000|59 86|Escherichia coli RNA polymerase
P10361038A0281|59 79|ribosomal protein genes
P07547500A0066|59 75|DNA-binding domain
P11233643A0000|59 74|protoporphyrin IX
P07760819A0731|59 74|PDGF beta receptor
P08248253A1785|59 74|chicken L-CAM gene
P11584328A0532|59 74|CYP450 isoenzymes
P09712898A0911|59 72|protein kinases
P07559402A0622|59 72|protein kinase C
P02201901A0229|59 69|SSN6 protein
P11160280A1275|59 68|IRF element
P09763522A2545|59 67|TNF-alpha
P02124710A1624|59 66|AP-1 site
P09037163A1652|59 66|gpc4 gene
P10485470A0242|59 66|Sp1 sites
P00336354A0543|59 65|insulin
P11255252A0961|59 64|FXR HRE
P01748630A0125|59 63|c-Myc
P08160905A0217|59 63|HBsAg
P10708424A0800|59 63|BGLF4
P08990168A0688|59 63|STAT1
P10933728A1398|59 63|EBNA2
P09118704A0771|59 63|G-CSF
P09139910A1572|59 62|nifV
P10327051A0688|59 62|SAPK
P09584194A1305|59 62|HEF1
P10679922A1110|59 62|ING1
P10454550A0960|59 62|Glc7
P09135149A0000|59 62|Cdc2
P08524241A0212|59 62|IME1
P07981143A0633|59 62|IL-4
P07565104A0084|59 62|ToxT
P10026211A0136|59 62|CREB
P10430583A0000|59 62|RecA
P06795832A0148|59 61|IgG
P09234723A0846|59 61|PTB
P09642238A1285|59 61|Sp1
P10477583A0000b|59 61|IgG
P09917389A1239|59 61|GST
P10477583A0000a|59 61|IgG
P10777586A1022|59 61|Sp1
P11108151A0560|59 61|PKC
P10557308A0000|59 61|RAS
P08394019A0695|59 61|SH2
P10490604A0601|59 61|Lck
P10850997A1016|59 61|Fur
P09882303T0000|59 61|JNK
P10779329T0000|59 61|Src
P07799437A0656|59 61|Myc
P11463834A0606|59 61|CBP
P07073520A0153|59 61|Na+
P09032304T0000|60 98|herpes simplex virus regulatory protein ICP4
P09649315A0943|60 97|N-terminally truncated MIP-1 beta variants
P09508775A0293|60 89|mitogen-activated protein kinase
P01684791A0000|60 89|chicken glutamine synthetase gene
P09371431T0000|60 87|symbiotic terminal oxidase cbb3
P10341219A0481|60 86|recombinant YD-repeat protein
P08119907A0000|60 85|insulin-like growth factor-I
P07565720A0256|60 83|glutathione S-transferase
P03346210A0000|60 80|protein tyrosine kinase
P08820648A0123|60 78|nrdAB-encoded enzyme
P07588603A1054|60 76|DH regulatory sites
P07783064A0452|60 75|creatinine kinase
P08618882A0343|60 75|DNA binding domain
P11121118A0075|60 75|N-terminal region
P11500571A0976|60 75|gPAL1 transcripts
P09360993T0000|60 74|serine proteases
P09583208A0171|60 73|immunoglobulin
P09420275A1111|60 72|CD23 promoters
P02714852T0000|60 71|HLA-B alleles
P07906265A0897|60 70|fasD mutants
P07890674A0916|60 69|E-cadherin
P10938102T0000|60 69|NS1 protein
P11278390A0632|60 69|PKRDeltaE7
P01711041A0962|60 69|beta-chain
P03537721A0491|60 67|PEP4 gene
P10930526A0174|60 67|HuPLSCR1
P01895393A0745|60 67|Sp1 sites
P09339900A0939|60 67|cyclin D2
P01560774A0885|60 67|fliA gene
P08628254A0665|60 67|AP1 sites
P08790387A0299|60 66|whn gene
P08385581A0126|60 65|REC114
P03008405A0532|60 64|HVC-1
P09121430A1075|60 64|c-myc
P07744776A0617|60 64|U6 RNA
P09535835A0279|60 64|Cdc42
P07999982A0086|60 64|D9S15
P10395283A0960|60 64|Smad4
P11535832A0586|60 64|HDAC9
P09447994A0000|60 64|c-fos
P09537651A0366|60 64|v-src
P10671224A0254|60 64|CD95L
P09658122T0000|60 63|PC-1
P02139473A1603|60 63|entC
P09255349A0836|60 63|IRA2
P11027294A0483|60 63|p300
P07999363A0000|60 63|FGFR
P08264650A0925|60 63|MDS1
P09712898T0000|60 63|SAPK
P09546424A1550|60 62|Crk
P09259313A0950|60 62|PRL
P09000049A1341|60 62|Myc
P08843412A0543|60 62|RXR
P09303437A0875|60 62|CAT
P11469853A0702|60 61|C1
P07413242A0000|60 61|T1
P07836364A0000|61 90|major histocompatibility complex
P09169593T0000|61 90|mitogen-activated protein kinase
P08428953A1718|61 78|beta-galactosidase
P02405393T0000|61 76|human c-ets-2 gene
P07813786A0641|61 75|XMyoDa TATA motif
P07835273A0000|61 75|insulin receptor
P08393143A1281|61 74|viral tat factor
P00837811A0675|61 73|gamma globulin
P03146150T0000|61 73|Pro-urokinase
P01767899A0136|61 71|prothrombin
P08856077T0000|61 70|interferon
P07877619A1284|61 70|zif268 gene
P11118062A1691|61 69|K-ras gene
P03928442A0463|61 69|Mtase gene
P11172944A0826|61 68|TNFalpha
P08922390A0361|61 68|paxillin
P07678242A0473|61 68|acc genes
P09243840A0663|61 68|HLA-DQA1
P01320640A0336|61 67|insulin
P09618150A0127|61 67|insulin
P10392903A0889|61 66|cdc25B
P07494244A0335|61 65|c-fos
P08668210A0000|61 65|Raf-1
P09321930A0567|61 65|BRCA1
P10392900A1020|61 65|c-Abl
P09649537A0000|61 65|yGCN2
P09032258A0395|61 65|LFA-3
P08072547A0690|61 65|c-Jun
P10850453A1292|61 64|MAPK
P02233715A0914|61 64|IL-6
P01448107A0361|61 64|GCN4
P11340080A0096|61 64|Rad9
P08654435A0540|61 64|Erk2
P10625494A1059|61 64|MDR1
P10713083A0560|61 64|TraM
P09789025A0149|61 64|RhoA
P07542616A0313|61 64|GCN4
P10650939A0789|61 64|AP-1
P04369884T0000|61 63|CSF
P08666102A0820|61 63|Ptc
P09418905A1396|61 63|Ras
P01870428A0677|61 63|LDL
P07651398A0803|61 63|DER
P07693975T0000|61 63|Gag
P09104816A0610|61 63|Vpu
P08421910A0599|61 63|p50
P10903877A0879|61 63|PKC
P11574088A1687|61 63|SPK
P10441506A0098|61 63|PKN
P10871379A0261|61 63|HCF
P09425036A0649|61 63|Lck
P07782302A0479|61 63|Ran
P10750020A0843|61 63|Sp1
P11278286A1083|61 62|MR
P11538437A0568|61 62|N2
P11736792A0204|61 62|G1
P10602502A0422|61 62|G1
P09837715A0581|62 93|chloramphenicol acetyltransferase
P10448902A0921|62 80|superoxide dismutase
P01556068A0000|62 77|monoamine oxidase
P02121371T0000|62 77|yeast IRA proteins
P07745684T0000|62 75|protein kinase C
P08808275A1193|62 75|mammalian genes
P09380697T0000|62 73|caveolin gene
P09309457A0680|62 73|endothelin-1
P08055939A0159|62 72|H1 molecules
P08111974A1034|62 72|tubulin mRNA
P09242506A1033|62 71|DP proteins
P10574982A1075|62 71|USF-1 and -2
P09482902A0423|62 71|Pctr1 locus
P09891061A1240|62 71|SpEts4 gene
P11042204A0186|62 70|p38 kinase
P07533880T0000|62 69|traJ mRNA
P08756597A0854|62 69|psaB mRNA
P08621628A1233|62 69|hGRalpha
P09016566A0655|62 69|BiP mRNAs
P10385915A1341|62 68|D3S1766
P08639837A0268|62 67|GATA-1
P09154822T0000|62 66|v-abl
P11589568A0744|62 65|Mad1
P09537378A1227|62 65|lacZ
P09722161A3065|62 65|Igf2
P09426143A1358|62 65|KdgR
P10831972A1091|62 65|CD23
P09625762A0426|62 65|p300
P02784507A0000|62 65|CD4+
P01545818A0696|62 64|SH2
P09282911A0277|62 64|RC3
P01420363A0818|62 64|AP1
P09443978A0262|62 64|Sp1
P10496284A0115|62 64|IgG
P09203586A1197|62 64|SL1
P09358069T0000|62 64|EPO
P10049742T0000|62 64|ZF5
P08091669A0828|62 64|IE1
P11018028A0263|62 64|PKA
P10928477A0764|62 64|vWF
P02845654A0510|62 63|P2
P08438584A0524|62 63|C1
P07635572A1153|62 63|RB
P02081463A0110|63 96|Spec1 transcriptional initiation site
P08208247T0030|63 91|glutamic acid decarboxylase gene
P11139473A0696|63 84|cAMP-responsive element
P02473907A1338|63 83|Fc epsilon R binding site
P11251083T0000|63 83|epidermal growth factor
P07540607A0709|63 81|human immunoglobulin
P10665798A0598|63 81|alkaline phosphatase
P01228882A0437|63 80|CSF immunoglobulins
P10101198A0632|63 78|N-terminal region
P02657388A1011|63 76|RNA polymerase I
P09691031A1050|63 76|myosin proteins
P11145590A0217|63 75|thyroglobulin
P09388246A0903|63 74|amphiphysin I
P05839844T0000|63 73|Aflatoxin B1
P08356944A0589|63 72|hemoglobin
P10318806A0476|63 72|MAP kinases
P11303027A0954|63 71|ARF family
P09584165T0000|63 71|G proteins
P09556566A0174|63 70|RXRalpha
P03038891A0935|63 69|p11 mRNA
P07799931A0287|63 68|L7 gene
P01968043A0908|63 68|pASB-1
P01709486A0000|63 67|c-kit
P09858593A0334|63 67|BETA2
P10201468A0297|63 67|GLP-1
P10744749T0000|63 66|MyoD
P10026211A0543|63 66|CREB
P10891441A0871|63 66|Sos1
P09579602A1720|63 66|CD34
P01224116A0576|63 65|IgG
P10648619A0000|63 65|TBP
P11560992A1184|63 65|JNK
P08976253A0637|63 65|PSA
P08756712A0227|63 65|RPA
P09077108A0458|63 65|IgG
P07738026A0216|63 65|ADH
P09658104T0000|63 65|YY1
P09474648A0298|63 65|Paf
P07752223A0960|63 65|Myc
P08291761A0416|63 65|IgG
P10488875A0000|63 64|CP
P07413242A0000|63 64|L3
P09585253A1147|63 64|TF
P11478627A0573|63 64|Y1
P02995967T0000|64 97|epidermal growth factor-receptor gene
P09303635A0000|64 92|beta-glucocerebrosidase enzyme
P08276865A1188|64 84|epidermal growth factor
P08599945T0000|64 84|yeast RNA polymerase III
P09467707T0000|64 79|apolipoproteins B
P11179956A1818|64 79|C-terminal domain
P08768377A1387|64 79|phytochrome C gene
P07994021A1223|64 78|PECAM-1 isoforms
P02674674A1308|64 74|OBF1 protein
P08023662T0000|64 74|prothrombin
P10579722T0000|64 73|Rho-kinase
P09454735A1782|64 72|MAP kinase
P07565797A0116|64 71|CRY2 mRNA
P09024805A0905b|64 70|Sp1 site
P10364319A0109|64 69|EBNA3C
P08981371A2049b|64 68|CSF-1
P10727511A0294|64 68|GLT-1
P10974541A0389|64 68|MZF1C
P08981371A2049a|64 68|CSF-1
P10597317A1156|64 67|LMP1
P02200736A1003|64 67|AP-4
P07759529A0288|64 67|gp91
P09642214A0244|64 67|ErbB
P10823961A0664|64 67|TRAP
P08524241A0212|64 67|IME2
P09199328T0000|64 66|HCF
P09512550T0000|64 66|pRb
P09517989A0476|64 66|CD4
P09147420T0000|64 66|Tat
P08626493A1468|64 66|E1A
P09837907A0857|64 66|TNF
P10889399A0243|64 66|MEK
P08843412A0543|64 66|RAR
P06698047A0445|64 66|TRH
P07490766T0000|64 66|Max
P11250942A0626|64 66|VDR
P08647434A1124|64 66|TBP
P09824001A1665|64 66|vWF
P10764760T0000|64 66|JNK
P09765261A0000|64 66|Tax
P08288596A0663|64 66|TRE
P09000049A1341|64 66|Max
P09694897T0000|64 65|U2
P08625806A0263|64 65|r3
P11278286A1083|64 65|GR
P10542260A0832|65 91|protease-activated receptors
P10564474T0000|65 89|outer-membrane protein OprH
P09523551A0367|65 89|G protein-coupled receptors
P08524036A0747|65 85|stripe 2 enhancer region
P10959838A0153|65 84|nitrilase superfamily
P07961755A0474|65 81|cysteine synthase C
P09704296T0000|65 79|immunoglobulin E
P11524015A0937|65 79|CAT reporter gene
P09341192T0000|65 78|tyrosine kinase
P11353770A0085|65 77|N-glycosylase
P10471696A0734|65 77|HMR-E silencer
P08672242A0517|65 74|P1 promoter
P11050084A0000|65 73|PPARalpha
P10085605A0239|65 72|alpha hCG
P08149484A0151|65 72|PKC delta
P09009208A0337|65 71|Tf1 mRNA
P07483285A0322|65 71|MMTV LTR
P07616563A0532|65 70|DNase I
P07651141A0265|65 70|p-gvpF
P10051488A1610|65 70|HMAP-1
P00420460A0291|65 69|renin
P09710599T0000|65 69|ets-2
P08497248A0000|65 69|CSF-1
P11150315A1126|65 69|Fra-2
P08871567A0000|65 69|c-myc
P09010223A0667|65 68|PEA3
P08550470A1021|65 68|CheA
P09611234A0098|65 68|PLZF
P01400217T0000|65 68|traG
P09436989A1011|65 68|MOB1
P08662928A1153|65 68|STAT
P02498652A0460|65 67|TRH
P11211936A1490|65 67|JNK
P10359575A0317|65 67|IgA
P10777217A0536|65 67|p53
P10319320A1022|65 67|Ras
P09763607A0521|65 67|JNK
P08182041A1067|65 67|PKA
P09065463A1012|65 67|RPA
P01400401A0065|65 66|E2
P10195690A0000|66 98|nuclear hormone receptor superfamily
