P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P08702644A0499|35 38|apoB
P09092493A0861|35 38|Stat
P11094091A0000|35 38|CREB
P08895579A0583|35 38|MDM2
P08139543A0427|35 38|SLK1
P02307850A1197|35 38|Con A
P09705352A0879|35 38|Mcm2
P09724654A1120|35 38|Dbf4
P11428897A0318|35 38|CopG
P10721704X0000|35 38|mHuA
P07533758A1038|35 38|RfbA
P01847464A0856|35 37|CAT
P08269424A0339|35 37|CRF
P10226029A0905|35 37|PKB
P10490822A1167|35 37|GAP
P11007949A1607|35 37|ILK
P07935447A0972|35 37|USF
P10373523A0924|35 37|E1A
P09309457A0680|35 37|HDL
P10084294A0219|35 37|EPO
P11522658A0870|35 37|p27
P07799925A0526|35 37|p62
P09872326A0566|35 37|CBF
P02229068A0156|35 37|tat
P08290278A0374|35 37|Myc
P10438924T0000|35 37|Akt
P08958137A0534|35 37|LDL
P09131139T0000|35 37|PAF
P11821098A0269|35 37|FSH
P09687511A1091|35 37|ABL
P08474464A0348|35 36|TR
P09971822A1542|35 36|U1
P09823775A1122|35 35|Y
P06314276T0000|36 66|full-length double-stranded cDNAs
P08195186A0000|36 66|T lymphocyte early-activation gene
P11473261A0587|36 66|guanine nucleotide exchange factor
P08230445A0000|36 66|human immunodeficiency virus type 1
P04369884T0000|36 63|colony-stimulating factor (CSF
P11160929T0000|36 63|LAGLIDADG homing endonucleases
P09556566A0174|36 61|retinoic acid Xalpha receptor
P01860846A0663|36 60|tumor necrosis factor-alpha
P09686344T0000|36 60|ornithine transcarbamylase
P01719684A0494|36 60|alpha-adrenergic receptors
P10497262A0000|36 60|trans -spliceosomal U5 snRNA
P09829916T0000|36 59|Escherichia coli spc operon
P09649501A0358|36 58|HSF1 trimerization domain
P04189158T0000|36 56|anti-Rh immune globulin
P09334331A0910|36 56|Drosophila EGF receptor
P10712599A0349|36 55|ubiquitin-proteasome
P11500512A0000|36 54|ATP-binding cassette
P10469656T0000|36 54|immediate-early gene
P02182323A0121|36 53|tRNA(Val)(UAC) gene
P02102823A0492|36 53|beta-glucuronidase
P08122370A0331|36 53|herpes simplex type 1
P11161816A0851|36 53|endophilin proteins
P02962859A0276|36 53|beta-galactosidase
P00015731A0090|36 52|carbonic anhydrase
P01406703A1435|36 52|DNA-binding region
P02575490A1021|36 52|oIGF-I transcripts
P07644466A0578|36 52|NS3-4A polyprotein
P09003312A0740|36 52|AT-PHH1 delta C-513
P03143048A1091|36 52|apolipoprotein A-I
P03332022A1094|36 51|N-terminal region
P10907971A0806|36 51|HMG-CoA reductase
P07654712A0774|36 51|mammalian enzymes
P10438593A0000|36 51|HIV-1) Tat protein
P01459447A0484|36 51|full-length genes
P10318806A0000|36 51|MAP) kinase family
P09405195A0320|36 50|endogenous locus
P08101171A0924|36 50|Pc group products
P09570133A0474|36 50|protein-protein
P09819391A1123|36 50|tyrosine kinases
P02145268A1454|36 49|EDS-IV collagen
P09835615A0574|36 49|nuclear protein
P08626539T0000|36 49|ApoA-I promoter
P08597596A0135|36 49|ABC transporter
P07428037A0989|36 49|mouse mt 12S rRNA
P08816759A0000|36 49|orphan receptor
P09162084A0956|36 48|Src-SH2 domain
P02252891T0000|36 47|interleukin 2
P09050867A0542|36 47|Krox proteins
P08853893A0158|36 47|E2F complexes
P08676858A0309|36 47|S-RNase genes
P08632463A1508|36 47|beta' subunit
P08294511A0639|36 47|69-kD protein
P02118525A0737|36 46|CCK promoter
P06671385A0856|36 46|plasma renin
P09154797A0777|36 46|lacZ mutants
P07545920A1336|36 45|hsiggll295
P08628255A0932|36 45|luciferase
P06152844T0000|36 44|prolactin
P10596955A1032|36 44|troponin I
P08816460A1769|36 44|Jun kinase
P11486476A1512|36 44|myoglobin
P05425195T0001|36 44|EC 2.6.1.1
P11439343A0785|36 44|Pc protein
P02523800A1178|36 43|CHS1 gene
P08849778A0226|36 43|repA mRNA
P08375651T0000|36 43|clathrin
P07958446A0000|36 43|forkhead
P02293664A0946|36 43|vimentin
P02023421A0343|36 43|collagen
P08636428A1363|36 43|thrombin
P10090146T0000|36 43|AP-2beta
P09294453A0949|36 43|tabtoxin
P10823961A0664|36 42|DRIP130
P09085842A0181|36 42|U1 snRNP
P02123820A0000|36 42|MAO)--A
P02761540A0873|36 41|NF-4FB
P11319880A1108|36 41|4E-BP1
P11238447A0524|36 41|eIF-5A
P09414319A1442|36 41|Surf-1
P10359603A0430|36 41|Vps45p
P01327758A0000|36 40|BPV-1
P09736697A1107|36 40|Stat3
P07828584A0681|36 40|c-Fos
P11529914T0000|36 40|CD154
P09915860A0119|36 40|mdr1b
P02789062A0000|36 40|4F2HC
P11092809A0823|36 40|PI3Ks
P08532516A0000|36 40|cdc10
P03934667A0124|36 40|crsA4
P11422200A0000|36 40|G-CSF
P10224293A0000|36 40|RPTPs
P10642524A0156|36 40|hsp70
P01535242A0557|36 40|M-CSF
P10229668A0560|36 40|Cln3p
P09354676A1714|36 40|p16.3
P10400757A1498|36 40|CXCR4
P10650939A0789|36 40|A-Fos
P11160280A1275|36 40|IRF-1
P09178491A0262|36 40|S gene
P10779508A0897|36 40|GRIP1
P11250942A0626|36 40|GRIP1
P08034486A0579|36 40|HSV-2
P11312326A0169|36 40|HIV-1
P09927193A0107|36 40|BCL-6
P01688841A0430|36 39|invG
P10364159A0813|36 39|FRAP
P09418905A1396|36 39|Grb2
P07559563A0282|36 39|Ca2+
P09247645A0000|36 39|SEC3
P09661676T0000|36 39|IL-5
P01516829A0113|36 39|SNF6
P11117263A0570|36 39|Ids3
P09135066A0653|36 39|Mek1
P11595170A0582|36 39|hB1F
P10090535A1194|36 39|apoB
P09925372A0458|36 39|HFHZ
P09419421A0385|36 39|NF-Y
P10637337A0545|36 39|TFA1
P11313386A0704|36 39|CD40
P10938130A0338|36 39|PLZF
P02223773A0000|36 38|ADF
P07894021A1130|36 38|DS2
P02938185A0223|36 38|E1a
P09585253A1147|36 38|ERK
P04428800T0001|36 38|LAP
P08119995A0814|36 38|T3R
P11350812A0829|36 38|MEK
P09380507A0514|36 38|GST
P10201468A0297|36 38|IRI
P10407985A0574|36 38|c.)
P11121434A0915|36 38|ras
P09147420A0623|36 38|IE2
P11301189A1396|36 38|p19
P09269900A1035|36 38|Ras
P07937954A0612|36 38|Ras
P08918456A0455|36 38|mu 2
P10629938A1352|36 38|GFP
P01334493A0289|36 38|HGF
P07592710T0000|36 38|PKR
P09263856A0563|36 38|Gla
P07797077A0842|36 38|Pip
P09677410A1059|36 38|p53
P08289341A1202|36 37|E2
P10637149A0806|36 37|CC
P07835888A0402|36 37|Xd
P10036191A0000|37 100|basic helix-loop-helix leucine zipper (bHLH-ZIP) transcription factors
P08608222T0000|37 84|human granulocyte colony-stimulating factor receptor
P08663219A0246|37 76|CAAT enhancer-binding protein consensus site
P01849509T0000|37 75|Rhizobium meliloti insertion sequence ISRm3
P10219091A0246|37 72|capping enzyme RNAtriphosphatase-like 1
P08224907A0000|37 71|gene encoding enhancer factor I subunit A
P10480937A0000|37 69|Drosophila A kinase anchor protein 200
P01347944A0964|37 68|homeodomain binding site II sequence
P01333047A0404|37 64|platelet-derived growth factor
P09701609A0116|37 64|phosducin-like orphan proteins
P08297376A0236|37 64|CCAAT/enhancer binding protein
P03629974A1468|37 63|M RNA product of Uukuniemi virus
P02739739T0000|37 62|steroid receptor superfamily
P08900190A0430|37 62|immediate early gene products
P11282029A0075|37 62|PDGF) beta-receptor promoter
P08657157A0000|37 61|POU domain DNA-binding motif
P01713213A0000|37 60|human pim-1 proto-oncogene
P08832146A0959|37 59|bone alkaline phosphatase
P09151828A0919|37 59|mutant 9ORF1 polypeptides
P11063252A0437|37 59|HSL translation start site
P01330309A1134|37 58|myogenin fusion proteins
P00054900A0226|37 57|chloroacetate esterase
P03007281A0905|37 56|Df(2L)OD15 breakpoint
P09268661A1405|37 56|reverse transcriptase
P01748292A0000|37 56|G protein alpha subunit
P01398068A0948|37 56|his175 or his273 mutant
P10469140A0336|37 55|NF-kappaB-like sites
P08268912A0657|37 55|human cDNA derived RNA
P09003001A1909|37 55|transferrin promoter
P01844982A0324|37 54|anti-nuclear factor
P02846640A0643|37 54|indoxyl phosphatase
P11319098A0164|37 54|protein translocase
P10517666A1069|37 54|AP-1 nucleoproteins
P02685565A0165|37 53|c-myb-encoded mRNA
P08483479A1056|37 52|collagen promoter
P02163394T0000|37 52|Bacillus subtilis
P09587549T0001|37 51|interferon alpha
P08001136T0000|37 51|RNA polymerase II
P00001606T0076|37 50|5-nucleotidase
P11559564A0459|37 50|topoisomerase I
P08264617A0000|37 50|ErbB-3 receptor
P02557217A0398|37 50|beta-endorphin
P01579537A0000|37 50|botulinum toxin
P09990315A0205|37 50|protein kinase C
P08806693A0584|37 50|GATA-1 promoter
P09915860A0000|37 49|GC-rich region
P09324988X0000|37 49|nuclear lamins
P09427544A0000|37 48|pectate lyase
P01721884A0962|37 48|E. coli region
P10777217A0536|37 48|PIG3 promoter
P07579695A0693|37 47|Mif2 protein
P03379058A0188|37 47|E1 alpha cDNA
P08923460A0565|37 47|RUSH-1 alpha
P09647240A0000|37 47|Janus kinase
P07538122A0800|37 47|Fab fragment
P08387519A0000|37 47|human desmin
P08367487A1014|37 47|17S U2 snRNPs
P06433442T0000|37 46|factor VIII
P09154819A0501|37 46|tenascin-C
P07683131A0885|37 46|SRC-family
P08833653A0783|37 46|amylin gene
P00173860A0475|37 45|aflatoxin
P10385915A1341|37 45|MITF locus
P07557446T0000|37 45|VCSA1 gene
P01554334A0000|37 45|IFN-gamma
P01645902A1462|37 45|Syn 5 locus
P10965135A1207|37 44|Cktsf1b1
P08196624A0593|37 44|T beta R-I
P07569640A0539|37 43|albumin
P09371431T0000|37 43|thiCOGE
P09456312A1064|37 43|RanGAP1
P10330168A0135|37 43|cyclin B
P01732736A1076|37 42|Oct-25
P06208024A0168|37 42|DNase I
P09383156A0691|37 42|pSok-6
P07540866A1069|37 42|ras GTP
P07501458A0578|37 42|Ig/EBP
P10837126A1004|37 42|Xwnt-8
P10563789A1951|37 42|CG beta
P01396601A0986|37 41|Stl1p
P10611225A1127|37 41|eIF4A
P08990168A0688|37 41|STAT1
P10073947A1110|37 41|PAI-1
P09815578A1245|37 41|CDKN2
P10390158A1150|37 41|Pit-1
P11459962A0785|37 41|Rad52
P10453006A0478|37 41|PSMB5
P11198424T0000|37 41|OsPSK
P09832436A0738|37 41|PLP-C
P09130700A0676|37 41|Tub4p
P08288240A0304|37 41|SCG10
P07547500A0066|37 40|GAL4
P10748113A0187|37 40|RIM2
P11158310A0993|37 40|NF-Y
P11118438A0411|37 40|Pin1
P10669594A0000|37 40|SefA
P02455821A0099|37 40|AccI
P10556046A0328|37 40|ALK2
P10541550A0487|37 40|ACE3
P01675763A1389|37 40|CD4+
P09780228A0613|37 40|FkbC
P07759529A0288|37 39|CDP
P09003462A0792|37 39|S29
P10521450A0437|37 39|Btk
P07748952A1329|37 39|hfq
P09488725A0904|37 39|SFD
P02590869A0743|37 39|IgG
P10727426A1280|37 39|CDK
P10722737A1726|37 39|Sp1
P10207115A0389|37 39|p21
P11264182A0000|37 39|Tax
P08754777A1214|37 39|T3R
P09451003A0894|37 39|CRP
P09858714A1171|37 39|dda
P08937981A0840|37 39|p54
P10022880A0000|37 39|GAP
P09285715A1257|37 39|Rev
P10938109A1361|37 39|Ras
P09287362A0589|37 39|p50
P00101300A0257|37 38|T1
P10983979T0000|37 38|U4
P05779953T0000|37 38|LH
P10347197A0502|37 38|SF
P07745726A0960|37 38|E1
P08654972A0000|37 38|Sp
P03112412A0985|38 89|temperature-sensitive threonyl-tRNA synthetase mutation
P11376946A0000|38 84|SH2 domain-containing protein-tyrosine phosphatase
P11032599T0000|38 75|hematopoietic colony-stimulating factors
P10938105A0000|38 72|fibroblast growth factor receptor 2 gene
P10918440T0000|38 72|granulocyte colony-stimulating factor
P07982995A0000|38 70|mouse platelet-derived growth factor
P08663120T0000|38 67|mitogen-activated protein kinase
P07519447T0000|38 67|endothelial nitric oxide synthase
P09710582A0535|38 67|mitogen-activated protein kinase
P08824585A0260|38 67|hematopoietic progenitor kinase 1
P10095062A0558|38 66|human topoisomerase IIalpha gene
P08808707A0631|38 66|extra-cellular regulated kinase
P09011744A0790|38 64|NMDA receptor channel subunits
P09537375A0198|38 64|chromosomal gntT::lacZ fusion
P09657003T0000|38 64|RNA-dependent RNA polymerases
P07516466A1054|38 63|simian virus 40 small t antigen
P11003669A0000|38 62|ErbB-2-interacting protein
P04004168A0000|38 61|triosephosphate isomerase
P11278713A1054|38 61|exon 4 protein-binding site
P02940334A0141|38 61|hepatitis B immune globulin
P08107167A0222|38 61|anti-B. parkeri antibodies
P08887674A0920|38 61|cyclin D-dependent kinases
P06096863T0000|38 60|Saccharomyces cerevisiae
P01320640A0336|38 59|neuron-specific enolase
P10543730A0000|38 59|cyclin-dependent kinase
P09121476T0000|38 58|DEAD-box protein family
P07483285A0322|38 58|SV40 enhancer/promoter
P10448902A0921|38 58|glutathione peroxidase
P09484463T0000|38 58|auxin-binding proteins
P09027346A1957|38 58|hCG-ectodomain complex
P03685073A0200|38 57|acetylcholinesterase
P08497190T0079|38 57|hyp regulatory mutants
P08473731A0149|38 57|alpha/beta components
P07798271A0330|38 56|Ets-related proteins
P02124710A0193|38 56|c-jun protooncogenes
P06957125T0000|38 55|beta 2-adrenoceptor
P08566751A0455|38 55|vertebrate Hox genes
P01309910A0428|38 55|TAR-binding protein
P07260389A0221|38 55|serotonin receptors
P09611229A1664|38 55|nmt1-451Dino2 Delta
P08585324A0823|38 54|Leu-tRNA precursor
P09441746A0546|38 54|GHS-R-related gene
P08620889A0771|38 54|aldolase C promoter
P10942599A1298|38 54|Hoxa-1 target genes
P09512559T0000|38 54|nerve growth factor
P09242506A1033|38 53|E2F family members
P08076631A0000|38 53|vitamin D receptor
P08828152A1238|38 53|RPO1 polypeptides
P09650299A1334|38 53|VirD2 omega domain
P10756032A0599|38 52|cyclin E promoter
P08327488A0839|38 52|p70 coding region
P04033402A1112|38 52|HDL-cholesterol
P09710615T0000|38 52|syntaxin homolog
P01657249A1019|38 51|VH4 heavy chains
P11410679A0000|38 51|Cre recombinase
P03980386A0000|38 50|angiotensin II
P07528746A1049|38 50|ASGPR subunits
P02107073A0584|38 50|STE18 proteins
P08030239A0833|38 50|IE polypeptide
P09832518A0615|38 49|Cdc68 protein
P10710742T0000|38 49|gonadotropin
P11247663A1447|38 49|DNAH9 alleles
P07565031A0454|38 49|V. cholerae O1
P09490676A0800|38 49|Ets-2 protein
P10861080A0433|38 49|IkappaBalpha
P01895384A0746|38 48|IE1 promoter
P07933101A0131|38 48|TATA element
P11133830A0174|38 48|anti-CD2 mAb
P08561893A0100|38 48|bHLH factors
P08172653A1589|38 48|TnT isoforms
P09545312A1197|38 48|HMG-I family
P08145646T0000|38 48|sigma factor
P11159363A1251|38 47|E2F element
P09601510A0215|38 47|FV pol genes
P02022188A0112|38 47|BJ1 protein
P03045725A0872|38 46|prolactin
P10855690A0870|38 46|MAP kinase
P09092580A1354|38 46|MAP kinase
P09111340A0240|38 46|c-myc mRNA
P07557387A0241|38 46|C/EBP beta
P10891489A0152|38 46|Y proteins
P07964459A0845|38 46|LIM domain
P06209403A0562|38 46|U2/4 locus
P02166040A0385|38 46|PEPCK gene
P06184487A1485|38 46|HindIII-P
P10477599T0000|38 45|C motif-1
P08383850A0206|38 45|beta-FNA
P06324121A0256|38 45|IEmRNA-5
P07856102A1616|38 45|M protein
P11278290A1220|38 45|TGF-beta
P08862522A0690|38 45|P8 mutant
P03060846T0000|38 44|23S rRNA
P09359887A1168|38 44|Nup159p
P09477316A0140|38 44|Hox gene
P08626610A0931|38 44|SREBP-1
P09701821A1108|38 44|opuE P-1
P03972185A0137|38 44|insulin
P07596697A0971|38 44|motilin
P06278424A0145|38 43|CH gene
P11352663A0138|38 43|class I
P08163546A1230|38 43|Ypt52p
P07504171A0715|38 43|PDGF-R
P09169420A0000|38 42|PI3Ks
P10403575A1401|38 42|DAX-1
P10918059A0569|38 42|Ca(2+
P09182990A0245|38 42|SUP45
P09572990A0630|38 42|MHC-I
P08622698T0000|38 42|RBPJk
P09882303A1984|38 42|TRAF2
P02837763A0259|38 42|HL-14
P11071852A0297|38 42|IGFIR
P07579328A1345|38 42|MZF-1
P09843412A0130|38 42|Abeta
P01954355A0997|38 41|IL-1
P09694514A0000|38 41|C3aR
P10376874A0759|38 41|eRF3
P10564472A0853|38 41|TraR
P02689439A0000|38 41|GSTs
P09199292A0536|38 41|p107
P11113199A0800|38 41|ERKs
P09792702A0754|38 41|JNK1
P09892736A0343|38 41|CDED
P09380707A0714|38 41|SMRT
P11007954A0170|38 41|Grb2
P10074425A0729|38 41|Cdk2
P11238405A0817|38 41|pcr1
P09636708A0460|38 41|FtsH
P09645961A1158|38 41|NF-Y
P02143186A0867|38 41|AHA3
P02045366A1149|38 41|KlaA
P07754713A0227|38 41|CDC6
P08790291A1022|38 41|thi1
P08425050A0898|38 41|rpeA
P02335713A0905|38 40|PbB
P08619866A0000|38 40|HGF
P01333317A1008|38 40|Sp1
P09271393A1333|38 40|Tax
P10585480A0157|38 40|Sos
P09162092A0675|38 40|p38
P08580083A0259|38 40|Fyn
P07957106A0471|38 40|GST
P08794363A0259|38 40|meq
P02968055A0984|38 40|ANF
P07828600A0095|38 40|SSE
P01850096A0662|38 40|E12
P08474464A0348|38 40|Rev
P08642285A1548|38 40|Abl
P11278855A0205|38 40|p65
P10446206A0000|38 40|PS1
P07937841A0790|38 40|p53
P07779811A0901|38 40|Sp1
P08626493A1468|38 40|E1A
P09341158A0167|38 40|mu2
P09234720A1015|38 40|MEK
P08918464A0225|38 40|STK
P07809410A0606|38 40|TSH
P11207288A0897|38 40|ABR
P09696819A0450|38 39|gE
P02806916A0000|38 39|Oc
P00377466A0188|38 39|LH
P08124912A0456|38 39|SF
P10479025A0528|38 39|TF
P10229682A1151|39 85|nuclear-factor-kappaB-binding-site-like sequence
P01714902A0221|39 82|Ti alpha-beta CD3 gamma delta epsilon TCR complexes
P11606538A1002|39 75|"neurospecific" receptor tyrosine kinase
P11416012T0000|39 71|low density lipoprotein receptor gene
P10679065A1217|39 70|chloramphenicol acetyltransferase
P08213747A0000|39 69|human immunodeficiency virus type 1
P01716629A0000|39 69|extracellular matrix glycoprotein
P10490639A0000|39 67|cyclin-dependent protein kinase
P11123316T0000|39 66|phosphatidylinositol 3-kinase
P08253386A0800|39 65|fibronectin splicing enhancer
P09827993A0000|39 65|CCHC-type zinc finger proteins
P09224655T0000|39 63|CIC chloride-channel family
P10801860A0000|39 63|immunoglobulin superfamily
P07528028A1192|39 63|FGF-1 cell surface receptors
P02837575A0979|39 62|eukaryotic topoisomerase I
P10464310A0218|39 62|fibroblast growth factor-2
P11898797A0124|39 62|choline acetyltransferase
P03499657A0000|39 62|serum alkaline phosphatase
P10843716A0406|39 62|tryptase-like pseudogenes
P01150658A0683|39 61|human luteinizing hormone
P08045431A0894|39 61|rubredoxin-like proteins
P07636187A0585|39 61|V beta 8.3 gene transcripts
P03146150T0000|39 59|single-chain urokinase
P09290207A0731|39 58|silent mating type loci
P06401749T0000|39 57|arginine vasopressin
P08910567A2269|39 57|rat liver glucokinase
P08509335T0000|39 56|1,3-beta-glucanase
P08106325A0000|39 56|DNA-binding protein
P07543592A0624|39 56|wild-type E5 protein
P00089778A0000|39 56|alpha 1-antitrypsin
P07959011A0379b|39 55|rat class-I ADH gene
P07959011A0379a|39 55|rat class-I ADH gene
P09551096A0108|39 55|ribosomal subunits
P07559347A0000|39 54|Bacillus subtilis
P10903837A1208|39 54|goldfish Vsx1 gene
P10662614A0972|39 54|full-length genes
P07768898A0492|39 54|apobec1 sequences
P01490493A0416|39 54|serum cholesterol
P06141764A0339|39 53|PB-inducible RNA
P10438924T0000|39 53|protein kinase B)
P07798207A0759|39 53|W3A1 ETF subunits
P00959656A0250|39 53|antithrombin III
P01190120A0832|39 52|thromboplastin
P09417870A0105|39 52|protein kinase C
P02157141A0923|39 52|topoisomerase I
P11256944A1144|39 52|G13 gene product
P02160955A0899|39 51|GT-rich region
P10487040A0453|39 51|p53 antibodies
P09168623A0614|39 50|mxbD promoter
P08247005A0584|39 50|20S precursor
P11311550A0253|39 50|rat eIF4E gene
P09612775A0726|39 50|serum antigen
P02556264A0278|39 49|kappa B motif
P01406656A1075|39 49|mouse alpha 1
P06394347A1024|39 49|plasma renin
P07918494A1163|39 49|thioredoxin
P10087213A0878|39 48|replicases
P08625987A1086|39 48|VpreB genes
P01767899A0136|39 48|fibrinogen
P09570952A0000|39 48|murine gene
P08599946A0999|39 48|p40 complex
P09501093A0071|39 48|MAP) kinase
P07693132A0100|39 47|Zm-ERabp1
P08091655A0000|39 47|MDV) genes
P10559207A0207|39 47|APS kinase
P09506962A1000|39 47|calpain II
P08094927A0311|39 47|6K protein
P11050084A0888|39 47|PPARgamma
P11167019A1249|39 47|GABPalpha
P10997330A0361|39 47|STORP gene
P08892757T0000|39 47|Ets family
P07862150A0429|39 46|TGF-beta
P08219227A0830|39 46|AP-1 site
P08464056A0000|39 46|FAX-ZFPs
P09864335A1226|39 46|FCR1 gene
P01630455A0448|39 45|NF beta A
P03114995T0000|39 45|gastrin
P09376325A0167|39 45|ph locus
P10713161A0985|39 45|ulp1(ts
P11035037A0183|39 45|yTAF145
P09536440A0000|39 45|myosin V
P07933107A0991|39 45|p54 gene
P10409741A0382|39 45|cdc4-10
P01845885A1003|39 44|UL26.5
P10403839A0140|39 44|hBMAL1
P09271417A1011|39 44|NRRE-1
P11416144A1324|39 44|ZBP-89
P02689439A0402|39 44|pmGT10
P10600171A1066|39 44|CYP3A2
P09398332A0732|39 44|CTLA-4
P07565113A0000|39 44|Tn4451
P09049304A1193|39 43|Egr-1
P07657162A1412|39 43|LEF-1
P11003641A0811|39 43|RAP74
P08208540A1114|39 43|NFKB2
P08114710A0137|39 43|HIV-1
P09233809A0381|39 43|Hnf3g
P08129955A0572|39 43|CK-MB
P01730412T0000|39 43|c-Myc
P10871379A0261|39 43|Luman
P10898795A0527|39 43|HDACs
P10448095A0865|39 43|C/EBP
P11069897A1112|39 43|BACH1
P10209021A0212|39 43|Gle2p
P01468625A1080|39 42|NSR1
P08406004A0691|39 42|PU.1
P08093616A1214|39 42|DREF
P09990507A0763|39 42|Pop1
P10085088A0918|39 42|eIF3
P07999982A0086|39 42|D9S5
P11577094A1226|39 42|WT-1
P08995659A0563|39 42|MSRs
P02162754A0801|39 42|pp15
P09479498A0000|39 42|RNF4
P09389137A0763|39 42|T1-9
P08703908A1814|39 42|SF-1
P07596287A0183|39 42|fimA
P11404016A1922|39 42|PKSs
P08139542A1229|39 42|CPA1
P09922230A1482|39 42|CAP1
P09309457A0680|39 42|HDL2
P10684069A0508|39 42|P0.1
P11331596A0710|39 42|Mena
P09528770A1379|39 42|cAPK
P03065141A0448|39 42|citB
P09872326A0566|39 42|cdc2
P10395283A0960|39 42|OP-1
P08876701A0177|39 42|DinB
P01970801A0925|39 42|Ly-1
P08486705A0181|39 42|TIF5
P10913304A0894|39 42|Fli1
P02958204A0175|39 41|HDL
P10533066A1197|39 41|PTT
P02229068A0156|39 41|rev
P09651367T0000|39 41|Ras
P08881036A0351|39 41|CL2
P09308234A0225|39 41|Myc
P10756100A0457|39 41|IB1
P09454735A1782|39 41|EGF
P10559364A0846|39 41|IE2
P10775623A0120|39 41|gag
P07610052A1064|39 41|C25
P10764802A1258|39 41|p57
P10579722T0000|39 41|MBS
P08985115A1571|39 41|p40
P08552082A0480|39 41|CAP
P09369453A0273|39 41|BAD
P01418272A1072|39 41|CEA
P07791764A0357|39 41|Cbl
P04084607A0663|39 40|G3
P07526609A0736|39 40|S1
P09694034A0713|39 40|LI
P11821098A0269|39 40|LH
P11872359A0000|39 40|IR
P01418834A0987|39 39|H
P10637149A0806|39 39|E
P09343433A0360|40 82|telomere-located RNAP II-transcribed genes URA3
P08702556A0000|40 72|83-kDa phosphatidic acid phosphatase
P08455611A0000|40 72|human embryonic zeta 2 globin promoter
